ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,23,7,1,1,9287.0,2,1,01/01,12/31
TWDB,2015,5,7,1,1,3660.0,2,1,01/01,12/31
TWDB,2015,19,7,1,1,13250.0,2,1,01/01,12/31
TWDB,2015,20,7,1,1,57.0,2,1,01/01,12/31
TWDB,2015,10,7,1,1,0.0,2,1,01/01,12/31
TWDB,2015,11,7,1,1,138.0,2,1,01/01,12/31
TWDB,2015,3,7,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,7,1,1,1285.0,2,1,01/01,12/31
TWDB,2015,9,7,1,1,0.0,2,1,01/01,12/31
TWDB,2015,12,8,1,1,2603.0,2,1,01/01,12/31
TWDB,2015,13,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,8,1,1,168.0,2,1,01/01,12/31
TWDB,2015,14,8,1,1,1853.0,2,1,01/01,12/31
TWDB,2015,15,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,8,1,1,724.0,2,1,01/01,12/31
TWDB,2015,18,8,1,1,1379.0,2,1,01/01,12/31
TWDB,2015,16,8,1,1,102.0,2,1,01/01,12/31
TWDB,2015,17,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,8,1,1,554.0,2,1,01/01,12/31
TWDB,2015,7,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,8,1,1,2749.0,2,1,01/01,12/31
TWDB,2015,22,8,1,1,5.0,2,1,01/01,12/31
TWDB,2015,2,8,1,1,1773.0,2,1,01/01,12/31
TWDB,2015,23,8,1,1,422.0,2,1,01/01,12/31
TWDB,2015,5,8,1,1,1467.0,2,1,01/01,12/31
TWDB,2015,19,8,1,1,664.0,2,1,01/01,12/31
TWDB,2015,20,8,1,1,6.0,2,1,01/01,12/31
TWDB,2015,10,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,11,8,1,1,0.0,2,1,01/01,12/31
TWDB,2015,3,8,1,1,0.0,2,1,01/01,12/31
